Gene_Name	UniProtKB_ID	Ensembl_Protein_ID	A0218_6A	A0218_6B	A0218_4B	A0218_4A	A0218_8B	A0218_2A	A0218_2B	A0218_1A_WHIM16	A0218_8A	Adult_Colon_bRP_Elite_50	Adult_Rectum_bRP_Elite_84	Adult_Colon_Gel_Elite_51	A0218_1B	A0218_5A	A0218_5B	A0218_7B	A0218_7A	Adult_Rectum_Gel_Elite_63	A0218_3B	A0218_3A	A0232_6	A0232_4	A0232_5	A0232_2	A0232_3	A0218_9B	A0232_1	A0218_9A	A0218_10A	A0218_10B	
XPC	Q01831,E7EUB5	ENSP00000285021,ENSP00000424548,ENSP00000423867,ENSP00000404002,ENSP00000438562,ENSP00000440522,ENSP00000441987	0	0	1	1	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	3	1	2	2	0	0	1	0	1	0	
SP1	P08047,H3BVI2,H3BUU5	ENSP00000457804,ENSP00000329357,ENSP00000404263,ENSP00000458133	1	3	2	0	3	0	3	0	1	0	0	0	2	0	2	1	1	1	2	1	0	2	1	1	1	2	1	0	0	1	
XPA	P23025,F2Z2T2	ENSP00000433006,ENSP00000364270	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SP3	Q02447,H0Y6K5,H0Y7L6	ENSP00000310301,ENSP00000406140,ENSP00000413665,ENSP00000388903	0	1	0	1	0	1	0	0	0	1	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	
NUP93	Q8N1F7,H3BVG0,H3BPA9,H3BNN5,H3BRI8,H3BVE2,H3BV15,H3BNG7,H3BRD9,H3BP95,H3BMX0,H3BP72,H3BV11,H3BM93	ENSP00000310668,ENSP00000455230,ENSP00000456264,ENSP00000458101,ENSP00000454587,ENSP00000457902,ENSP00000454285,ENSP00000454935,ENSP00000458039,ENSP00000455210,ENSP00000454844,ENSP00000455181,ENSP00000440235,ENSP00000458078,ENSP00000456196,ENSP00000457907	4	29	26	11	29	13	27	5	8	10	17	8	22	7	25	23	11	5	20	8	34	41	34	44	38	22	37	6	2	22	
CAMKV	Q8NCB2,B4DSW8,B4DM24,C9J9E2,E7ETR1,F8WDJ4,C9JSB2	ENSP00000296471,ENSP00000418809,ENSP00000417614,ENSP00000419195,ENSP00000420139,ENSP00000420053,ENSP00000420724,ENSP00000420766,ENSP00000420000,ENSP00000484045	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
GOLIM4	O00461,F8W785	ENSP00000417354,ENSP00000309893	0	0	0	5	0	4	0	1	2	13	10	4	0	1	0	0	4	4	0	4	1	3	3	3	2	0	2	0	0	0	
OPA3	Q9H6K4,B4DK77	ENSP00000319817,ENSP00000263275,ENSP00000442839	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
OPA1	O60313,E5KLK1,E5KLJ9,E5KLJ6,E5KLJ5,H7C3G2,H7C321,H7C141,C9JY58,C9JMB8,A8MXB6	ENSP00000354681,ENSP00000376233,ENSP00000376232,ENSP00000399877,ENSP00000376231,ENSP00000409084,ENSP00000398358,ENSP00000411699,ENSP00000354429,ENSP00000355311,ENSP00000355324,ENSP00000354781	13	13	9	18	11	18	16	17	13	51	33	45	9	6	10	7	18	38	9	16	26	30	23	26	28	7	24	11	5	7	
RAB40C	Q96S21,H3BTC6,H3BUX0,H3BME4,H3BPB1,H3BNV8,H3BMH4,H3BPA5	ENSP00000454347,ENSP00000455029,ENSP00000457116,ENSP00000248139,ENSP00000457845,ENSP00000455232,ENSP00000455225,ENSP00000454383,ENSP00000445050,ENSP00000438492,ENSP00000438382	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
RAB40B	Q12829,H0YFJ5,J3KN64,I3L178	ENSP00000461785,ENSP00000269347,ENSP00000438897,ENSP00000458638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ENSP00000470158	-	-	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
COL7A1	Q02388,C9JBL3	ENSP00000332371,ENSP00000391608,ENSP00000412569	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	
CTRC	Q99895	ENSP00000365116,ENSP00000365110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	
KLLN	B2CW77	ENSP00000392204,ENSP00000489239	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	2	1	0	2	0	1	4	0	0	
ARFRP1	Q13795	ENSP00000484109,ENSP00000479616,ENSP00000479058,ENSP00000481446,ENSP00000476756,ENSP00000483130,ENSP00000483486,ENSP00000479940,ENSP00000217224,ENSP00000326884,ENSP00000390389,ENSP00000352746,ENSP00000403942,ENSP00000304287	2	1	2	2	2	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	
SPPL2A	Q8TCT8,H0YNA7,H0YNA2	ENSP00000261854,ENSP00000453927,ENSP00000453932	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	
ENSG00000131759	-	ENSP00000478820	1	0	0	2	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	1	0	0	0	1	1	0	2	2	0	0	
NOP9	Q86U38,H0YJP7	ENSP00000267425,ENSP00000380020,ENSP00000451905,ENSP00000440168	4	6	5	1	3	3	11	1	0	1	0	0	7	0	4	3	3	0	3	3	8	9	10	11	11	3	7	0	1	4	
ITGA9	Q13797,E9PDS3,H7C2L1	ENSP00000397258,ENSP00000264741,ENSP00000406533	0	0	0	0	0	0	0	0	0	3	6	1	0	0	0	1	0	3	1	1	0	1	1	0	0	1	1	0	0	0	
MYO3B	Q8WXR4,F5H2J1,H7C1M9	ENSP00000386497,ENSP00000314650,ENSP00000386213,ENSP00000446237,ENSP00000401160,ENSP00000408671,ENSP00000335100,ENSP00000314213	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
RP4-559A3.7	-	ENSP00000414068	3	7	7	4	7	3	6	2	2	0	0	0	4	2	7	6	5	0	5	2	10	8	9	9	11	3	9	1	2	3	
ATP2A1	O14983,H3BVB2,H3BUU3,H3BTF1,H3BUT9,H3BTW4	ENSP00000349595,ENSP00000378879,ENSP00000458035,ENSP00000457798,ENSP00000443101,ENSP00000457357,ENSP00000457148,ENSP00000457793,ENSP00000378876	12	42	38	12	37	15	33	6	10	0	0	0	23	9	26	35	18	0	27	12	44	37	42	36	36	71	43	13	15	75	
ATP2A2	P16615,F8W1Z7,H7C5W9,A0A0C4DH86,J3QSY6	ENSP00000447406,ENSP00000311186,ENSP00000366913,ENSP00000440045,ENSP00000449454,ENSP00000450407,ENSP00000448296,ENSP00000378872	19	29	31	28	27	26	31	14	21	46	49	46	18	24	26	30	36	43	22	17	41	37	42	36	42	23	40	22	11	22	
ATP2A3	Q93084,A0A0C4DGN3,A0A0C4DGN1	ENSP00000380234,ENSP00000380229,ENSP00000461480,ENSP00000353072,ENSP00000301387,ENSP00000380236,ENSP00000458865,ENSP00000312577,ENSP00000380232,ENSP00000380238	0	10	14	0	16	0	10	0	0	31	33	30	8	1	7	5	2	26	9	0	13	6	5	6	8	6	6	0	0	10	
ITGA1	P56199	ENSP00000282588	0	0	0	0	0	0	0	1	0	61	79	58	0	0	0	0	1	132	0	0	0	0	0	0	0	0	1	0	0	0	
ITGA2	P17301,E7ESP4,E7EMF1,E9PB77,D6RG08,D6R9H3	ENSP00000296585,ENSP00000426489,ENSP00000422095,ENSP00000424397,ENSP00000424642,ENSP00000422145	32	5	4	33	7	37	6	20	39	10	10	4	5	26	5	5	16	1	3	40	45	40	48	41	39	3	42	40	29	0	
NOP2	P46087,F5H359,F5GYR3,F5GWB7,F5H709,F5H5X6,A0A087WV73,F5H8G6	ENSP00000444437,ENSP00000371858,ENSP00000439422,ENSP00000382392,ENSP00000313272,ENSP00000443150,ENSP00000440754,ENSP00000443035,ENSP00000442895,ENSP00000443585,ENSP00000441923,ENSP00000442742,ENSP00000445402,ENSP00000484384,ENSP00000479320,ENSP00000479236	9	21	14	11	20	7	22	6	6	2	2	0	12	4	16	12	11	1	15	7	25	21	22	18	23	10	20	4	6	9	
ITGA4	P13612,E7EP60	ENSP00000340149,ENSP00000380227,ENSP00000233573,ENSP00000404862	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ITGA5	P08648,B4E3F4,H0YHL9,H0YIV7	ENSP00000293379,ENSP00000450267,ENSP00000405865,ENSP00000447347	12	0	1	15	2	23	0	10	14	79	50	129	0	6	0	0	11	53	0	17	12	15	15	11	9	0	12	14	12	0	
ITGA6	P23229,C9JXX7,H7BZ97	ENSP00000413470,ENSP00000386614,ENSP00000264107,ENSP00000406694,ENSP00000394169,ENSP00000386896,ENSP00000388435,ENSP00000264106,ENSP00000364369,ENSP00000341078	8	6	7	11	10	10	7	11	12	20	30	14	6	5	6	3	26	20	6	8	12	17	14	13	10	4	23	8	9	5	
ITGA7	Q13683,G3V2Q6,G3V2C6,J3KNV4,H0YJ98,G3V3L8,H0YJ26,G3V2I4,H0YJS5	ENSP00000452120,ENSP00000257879,ENSP00000450693,ENSP00000343009,ENSP00000393844,ENSP00000452387,ENSP00000451039,ENSP00000450679,ENSP00000450578,ENSP00000451311,ENSP00000452043,ENSP00000452467,ENSP00000450798,ENSP00000257880,ENSP00000377777,ENSP00000377776,ENSP00000339995	0	0	0	0	0	0	0	0	0	54	71	63	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	1	1	0	
DENND4A	Q7Z401,A0A0U1RR27,H3BTW5,H3BSA0	ENSP00000456605,ENSP00000391167,ENSP00000396830,ENSP00000489304,ENSP00000457358,ENSP00000445295	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
DENND4B	O75064,H0YEF0,E9PAK5	ENSP00000354597,ENSP00000357635,ENSP00000435709	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DENND4C	R4GNB2,X6RAE7,X6R5W5,R4GN35,R4GMN2,A0A0A0MRX3	ENSP00000354301,ENSP00000369789,ENSP00000369792,ENSP00000473273,ENSP00000473469,ENSP00000473565,ENSP00000369802,ENSP00000369797,ENSP00000305795,ENSP00000443804,ENSP00000394407	1	4	1	3	2	1	4	3	0	7	4	1	3	1	1	3	3	0	3	0	3	5	7	4	4	1	5	0	1	1	
FARP2	O94887,H7C447,C9JWM9,H7C210,H7C3M7,C9JVQ5,H7C3E4	ENSP00000264042,ENSP00000486597,ENSP00000362384,ENSP00000393376,ENSP00000388167,ENSP00000412772,ENSP00000411353,ENSP00000415474,ENSP00000403437,ENSP00000443876	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SWAP70	Q9UH65,E9PJM7,E9PJK8,E7EMB1,H0YDK5	ENSP00000399056,ENSP00000315630,ENSP00000431768,ENSP00000435587,ENSP00000433824	9	12	9	15	7	17	6	11	15	9	13	12	3	6	12	7	4	12	4	11	26	33	29	21	28	4	24	14	7	5	
RARRES1	P49788	ENSP00000237696,ENSP00000418556,ENSP00000418087	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PHLDA1	Q8WV24,R4GND3	ENSP00000473593,ENSP00000266671,ENSP00000480767,ENSP00000388625	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
PHLDA3	Q9Y5J5	ENSP00000356280,ENSP00000356278	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
UFSP2	Q9NUQ7,H0Y9B0,D6RGX2,D6RB53,D6RA67,D6R9J7,H0YA18	ENSP00000423599,ENSP00000264689,ENSP00000421133,ENSP00000425855,ENSP00000423657,ENSP00000424419,ENSP00000423108	2	2	2	3	1	1	1	4	1	3	3	8	1	2	1	2	2	1	1	5	3	5	3	3	4	1	4	0	0	0	
GAP43	P17677	ENSP00000305010,ENSP00000377372	1	0	0	1	0	0	0	0	0	9	19	5	0	1	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	
PAMR1	Q6UXH9,A0A087WXE9,E9PMN5,A0A087WUR8,E9PQ70	ENSP00000482899,ENSP00000483703,ENSP00000480961,ENSP00000432591,ENSP00000433024,ENSP00000479260,ENSP00000478867,ENSP00000278360,ENSP00000368158,ENSP00000433868,ENSP00000368156	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	2	0	0	1	2	0	
HRH4	Q9H3N8	ENSP00000256906,ENSP00000402526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
TIPRL	O75663	ENSP00000356807,ENSP00000356804	1	6	6	1	6	2	7	1	1	14	11	11	5	1	7	4	0	3	6	2	10	8	9	7	8	5	8	0	1	7	
HRH3	Q9Y5N1,A0A0A0MR48,A0A087WZD3	ENSP00000342560,ENSP00000321482,ENSP00000482567,ENSP00000359833	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
FBXL17	Q9UF56,H7C835	ENSP00000352683,ENSP00000418111,ENSP00000437464,ENSP00000481439	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
